State,Income,Percent
OK,"$25-$49,999",13.9
OK,"$50-$74,999",12.1
OK,">=$75,000",11.5
OR,"< $15,000",19.8
OR,"$15-$24,999",19.0
OR,"$25-$49,999",16.4
OR,"$50-$74,999",13.9
OR,">=$75,000",14.5
PA,"< $15,000",22.5
PA,"$15-$24,999",16.7
PA,"$25-$49,999",12.0
PA,"$50-$74,999",11.5
PA,">=$75,000",13.1
RI,"< $15,000",20.9
RI,"$15-$24,999",17.9
RI,"$25-$49,999",15.9
RI,"$50-$74,999",14.0
RI,">=$75,000",11.9
SC,"< $15,000",16.7
SC,"$15-$24,999",16.2
SC,"$25-$49,999",11.1
SC,"$50-$74,999",11.2
SC,">=$75,000",10.0
SD,"< $15,000",20.4
SD,"$15-$24,999",17.8
SD,"$25-$49,999",7.9
SD,"$50-$74,999",10.2
SD,">=$75,000",9.2
TN,"< $15,000",24.2
TN,"$15-$24,999",14.6
TN,"$25-$49,999",12.7
TN,"$50-$74,999",12.8
TN,">=$75,000",9.0
TX,"< $15,000",13.3
TX,"$15-$24,999",12.6
TX,"$25-$49,999",10.9
TX,"$50-$74,999",9.7
TX,">=$75,000",9.1
UT,"< $15,000",19.3
UT,"$15-$24,999",15.9
UT,"$25-$49,999",14.2
UT,"$50-$74,999",12.5
UT,">=$75,000",11.7
VT,"< $15,000",24.2
VT,"$15-$24,999",23.0
VT,"$25-$49,999",16.2
VT,"$50-$74,999",11.6
VT,">=$75,000",14.3
VA,"< $15,000",21.9
VA,"$15-$24,999",15.5
VA,"$25-$49,999",12.0
VA,"$50-$74,999",12.2
VA,">=$75,000",10.3
WA,"< $15,000",23.1
WA,"$15-$24,999",15.4
WA,"$25-$49,999",13.8
WA,"$50-$74,999",12.7
WA,">=$75,000",13.8
WV,"< $15,000",23.2
WV,"$15-$24,999",14.7
WV,"$25-$49,999",12.7
WV,"$50-$74,999",10.7
WV,">=$75,000",11.4
WI,"< $15,000",23.1
WI,"$15-$24,999",15.6
WI,"$25-$49,999",12.5
WI,"$50-$74,999",9.2
WI,">=$75,000",8.9
WY,"< $15,000",17.4
WY,"$15-$24,999",15.7
WY,"$25-$49,999",10.5
WY,"$50-$74,999",11.6
WY,">=$75,000",11.0
GU,"< $15,000",16.7
GU,"$15-$24,999",15.1
GU,"$25-$49,999",9.6
GU,"$50-$74,999",10.1
GU,">=$75,000",10.7
PR,"< $15,000",18.9
PR,"$15-$24,999",17.7
PR,"$25-$49,999",16.9
PR,"$50-$74,999",13.5
PR,">=$75,000",11.3
