State,Age,Percent
TN,55-64,14.5
TN,65+,12.0
TX,18-24,14.3
TX,25-34,10.4
TX,35-44,8.7
TX,45-54,10.0
TX,55-64,12.6
TX,65+,11.3
UT,18-24,16.1
UT,25-34,14.2
UT,35-44,12.2
UT,45-54,13.4
UT,55-64,12.1
UT,65+,12.5
VT,18-24,20.0
VT,25-34,22.6
VT,35-44,16.8
VT,45-54,15.1
VT,55-64,14.4
VT,65+,13.4
VA,18-24,17.7
VA,25-34,12.2
VA,35-44,11.7
VA,45-54,12.2
VA,55-64,11.7
VA,65+,11.8
WA,18-24,21.0
WA,25-34,14.7
WA,35-44,13.9
WA,45-54,14.5
WA,55-64,13.7
WA,65+,13.2
WV,18-24,18.0
WV,25-34,16.3
WV,35-44,14.7
WV,45-54,14.2
WV,55-64,14.3
WV,65+,12.1
WI,18-24,16.7
WI,25-34,14.4
WI,35-44,11.5
WI,45-54,11.9
WI,55-64,13.5
WI,65+,9.7
WY,18-24,10.8
WY,25-34,14.6
WY,35-44,11.1
WY,45-54,12.0
WY,55-64,11.7
WY,65+,11.6
GU,18-24,15.0
GU,25-34,13.0
GU,35-44,11.5
GU,45-54,11.2
GU,55-64,10.4
GU,65+,12.1
PR,18-24,20.3
PR,25-34,19.2
PR,35-44,17.9
PR,45-54,15.7
PR,55-64,17.0
PR,65+,14.1
